name,address, shares, ratePerOneOKT, rewards25PerYear, rewards75PerYear, rewardsPerYear, commissionRate, APR, top21
Chillcrypto,exvaloper1xkl5agjzqnjnptyat2dng2asmx8g5kllg7xamv, 41891252286217, 0.000000175257305507, 46928.5714, 141603.8022, 188532.3736, 0, 3.30416758%, True
Unique farming,exvaloper1fymxn4gazxzjdfvwvr0ccnrnjpwmj0r9vw3t2y, 41889906928312, 0.000000175262934161, 46928.5714, 141599.2545, 188527.8259, 0, 3.30419399%, True
Tombolo,exvaloper1m569cfenudxemegcf4mmykhugnslhdv0xhvcj6, 41888359815303, 0.000000175269407357, 46928.5714, 141594.0249, 188522.5963, 0, 3.30422437%, True
Defilego,exvaloper1tkwxgcpvptua0q0h5tn0at58ufnjdue7xp9jh4, 41886789011351, 0.000000175275980167, 46928.5714, 141588.7151, 188517.2865, 0, 3.30425522%, True
Nodeplus,exvaloper1ygcvtcqxl82xvzrq25dymam434k3nnc8kwvrkm, 41886534633212, 0.000000175277044623, 46928.5714, 141587.8553, 188516.4267, 0, 3.30426021%, True
DeLab,exvaloper1c34s7lc7ec8gs9xrtxeh0j2wjaam25c3g06xp3, 41884488642584, 0.000000175285606628, 46928.5714, 141580.9393, 188509.5107, 0, 3.30430039%, True
Hydrus,exvaloper1508d7eq592kg2lh9d46xvv3r4sm7gm8w0nrejk, 41882557430968, 0.000000175293689076, 46928.5714, 141574.4112, 188502.9826, 0, 3.30433832%, True
Blockpro,exvaloper1ja9xngm4zh0t442mse73ll30p7dczd49s88n2x, 41882114025149, 0.000000175295544909, 46928.5714, 141572.9124, 188501.4838, 0, 3.30434703%, True
ZK capitial,exvaloper1zza3jrylyecrtuh0p9ts2xauzsefuvwa4l9fsx, 41879620949140, 0.000000175305980179, 46928.5714, 141564.4851, 188493.0565, 0, 3.30439600%, True
Samual,exvaloper1ka92ujcwh6hyyeu4tymzy3dedgxplt4dtsr7xh, 41878299446868, 0.000000175311512095, 46928.5714, 141560.0181, 188488.5895, 0, 3.30442196%, True
Zapzap,exvaloper1qva0ejf0t943x6rt824gwmvtjgec9cjrut5wn8, 41876865915008, 0.000000175317513371, 46928.5714, 141555.1724, 188483.7438, 0, 3.30445013%, True
Squares,exvaloper19wln93k3faq7vkqzlc9gljr3ey5fljt93jfxsy, 41875544190870, 0.000000175323046944, 46928.5714, 141550.7046, 188479.2760, 0, 3.30447610%, True
Nozash,exvaloper195ez67wmhprwrru34gvttyd8ttpl7edx3px8ua, 41874251633766, 0.000000175328458744, 46928.5714, 141546.3354, 188474.9068, 0, 3.30450149%, True
Collector,exvaloper1q9nct2gska2yutx24starv6s63xz022fdwdgzv, 41872927045623, 0.000000175334005000, 46928.5714, 141541.8579, 188470.4293, 0, 3.30452752%, True
Unicorn,exvaloper1zxthrcdcecfe5ss4tal0tq30hzel2lks6psuhm, 41871597326121, 0.000000175339573096, 46928.5714, 141537.3631, 188465.9345, 0, 3.30455365%, True
